bank	bdo_instrument_id	wem_id	root_midi	root_hz	pitch_confidence	velocity_layer	velocity_layers	rms	duration_seconds	sample_rate	percussion	path
midi_instrument_00_acousticguitar	0	1040658402	79	800.0	0.9987	1	3	0.01795	2.0579	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\1040658402.wav
midi_instrument_00_acousticguitar	0	18066943	48	134.328	0.9895	1	2	0.039374	3.424	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\18066943.wav
midi_instrument_00_acousticguitar	0	188841095	107	4000.0	0.9995	3	3	0.039726	5.2023	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\188841095.wav
midi_instrument_00_acousticguitar	0	440522940	107	4000.0	0.9983	1	3	0.020679	4.5549	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\440522940.wav
midi_instrument_00_acousticguitar	0	492018674	61	279.07	0.9994	1	1	0.041402	4.8516	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\492018674.wav
midi_instrument_00_acousticguitar	0	572577418	49	134.831	0.9938	2	2	0.03441	3.0212	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\572577418.wav
midi_instrument_00_acousticguitar	0	584009404	48	134.328	0.9902	2	2	0.042843	3.0208	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\584009404.wav
midi_instrument_00_acousticguitar	0	644569521	79	782.609	0.9986	2	3	0.02039	2.1551	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\644569521.wav
midi_instrument_00_acousticguitar	0	676988781	72	529.412	0.9881	2	2	0.030399	1.8806	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\676988781.wav
midi_instrument_00_acousticguitar	0	805595018	79	765.957	0.9956	3	3	0.027296	1.4559	36000	False	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\805595018.wav
