bank	instrument	wem_id	channels	sample_rate	bits	frames	duration_seconds	wav_bytes	path
midi_instrument_00_acousticguitar	00 acousticguitar	1040658402	1	36000	16	74085	2.058	148214	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\1040658402.wav
midi_instrument_00_acousticguitar	00 acousticguitar	18066943	1	36000	16	123264	3.424	246572	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\18066943.wav
midi_instrument_00_acousticguitar	00 acousticguitar	188841095	1	36000	16	187283	5.202	374610	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\188841095.wav
midi_instrument_00_acousticguitar	00 acousticguitar	440522940	1	36000	16	163977	4.555	327998	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\440522940.wav
midi_instrument_00_acousticguitar	00 acousticguitar	492018674	1	36000	16	174659	4.852	349362	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\492018674.wav
midi_instrument_00_acousticguitar	00 acousticguitar	572577418	1	36000	16	108763	3.021	217570	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\572577418.wav
midi_instrument_00_acousticguitar	00 acousticguitar	584009404	1	36000	16	108750	3.021	217544	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\584009404.wav
midi_instrument_00_acousticguitar	00 acousticguitar	644569521	1	36000	16	77585	2.155	155214	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\644569521.wav
midi_instrument_00_acousticguitar	00 acousticguitar	676988781	1	36000	16	67700	1.881	135444	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\676988781.wav
midi_instrument_00_acousticguitar	00 acousticguitar	805595018	1	36000	16	52414	1.456	104872	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\805595018.wav
midi_instrument_00_acousticguitar	00 acousticguitar	84994061	1	36000	16	79254	2.201	158552	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\84994061.wav
midi_instrument_00_acousticguitar	00 acousticguitar	854819957	1	36000	16	168971	4.694	337986	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\854819957.wav
midi_instrument_00_acousticguitar	00 acousticguitar	866938490	1	36000	16	105819	2.939	211682	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\866938490.wav
midi_instrument_00_acousticguitar	00 acousticguitar	900600666	1	36000	16	65716	1.825	131476	F:\缓存\BDO音源\乐器_WAV\midi_instrument_00_acousticguitar\900600666.wav
midi_instrument_01_flute	01 flute	1047162426	1	36000	16	207457	5.763	414958	F:\缓存\BDO音源\乐器_WAV\midi_instrument_01_flute\1047162426.wav
midi_instrument_01_flute	01 flute	130339141	1	36000	16	215647	5.990	431338	F:\缓存\BDO音源\乐器_WAV\midi_instrument_01_flute\130339141.wav
midi_instrument_01_flute	01 flute	185092989	1	36000	16	215520	5.987	431084	F:\缓存\BDO音源\乐器_WAV\midi_instrument_01_flute\185092989.wav
midi_instrument_01_flute	01 flute	434299083	1	36000	16	219273	6.091	438590	F:\缓存\BDO音源\乐器_WAV\midi_instrument_01_flute\434299083.wav
midi_instrument_01_flute	01 flute	864423605	1	36000	16	220982	6.138	442008	F:\缓存\BDO音源\乐器_WAV\midi_instrument_01_flute\864423605.wav
midi_instrument_01_flute	01 flute	873015896	1	36000	16	219555	6.099	439154	F:\缓存\BDO音源\乐器_WAV\midi_instrument_01_flute\873015896.wav
midi_instrument_02_recorder	02 recorder	25216939	1	36000	16	164095	4.558	328234	F:\缓存\BDO音源\乐器_WAV\midi_instrument_02_recorder\25216939.wav
midi_instrument_02_recorder	02 recorder	667374261	1	36000	16	175874	4.885	351792	F:\缓存\BDO音源\乐器_WAV\midi_instrument_02_recorder\667374261.wav
midi_instrument_02_recorder	02 recorder	731282485	1	36000	16	171585	4.766	343214	F:\缓存\BDO音源\乐器_WAV\midi_instrument_02_recorder\731282485.wav
midi_instrument_03_snaredrum	03 snaredrum	356414994	1	36000	16	14533	0.404	29110	F:\缓存\BDO音源\乐器_WAV\midi_instrument_03_snaredrum\356414994.wav
midi_instrument_03_snaredrum	03 snaredrum	491243021	1	36000	16	12079	0.336	24202	F:\缓存\BDO音源\乐器_WAV\midi_instrument_03_snaredrum\491243021.wav
midi_instrument_03_snaredrum	03 snaredrum	693982012	1	36000	16	149163	4.143	298370	F:\缓存\BDO音源\乐器_WAV\midi_instrument_03_snaredrum\693982012.wav
midi_instrument_03_snaredrum	03 snaredrum	798278033	1	36000	16	9653	0.268	19350	F:\缓存\BDO音源\乐器_WAV\midi_instrument_03_snaredrum\798278033.wav
midi_instrument_03_snaredrum	03 snaredrum	823509899	1	36000	16	12940	0.359	25924	F:\缓存\BDO音源\乐器_WAV\midi_instrument_03_snaredrum\823509899.wav
midi_instrument_03_snaredrum	03 snaredrum	82625886	1	36000	16	146907	4.081	293858	F:\缓存\BDO音源\乐器_WAV\midi_instrument_03_snaredrum\82625886.wav
midi_instrument_04_handdrum	04 handdrum	1016797379	1	36000	16	9775	0.272	19594	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\1016797379.wav
midi_instrument_04_handdrum	04 handdrum	1039299035	1	36000	16	10594	0.294	21232	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\1039299035.wav
midi_instrument_04_handdrum	04 handdrum	1059701000	1	36000	16	9066	0.252	18176	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\1059701000.wav
midi_instrument_04_handdrum	04 handdrum	1063945239	1	36000	16	27426	0.762	54896	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\1063945239.wav
midi_instrument_04_handdrum	04 handdrum	128179477	1	36000	16	4018	0.112	8080	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\128179477.wav
midi_instrument_04_handdrum	04 handdrum	176983875	1	36000	16	32088	0.891	64220	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\176983875.wav
midi_instrument_04_handdrum	04 handdrum	193205186	1	36000	16	3562	0.099	7168	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\193205186.wav
midi_instrument_04_handdrum	04 handdrum	255278743	1	36000	16	3729	0.104	7502	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\255278743.wav
midi_instrument_04_handdrum	04 handdrum	263893279	1	36000	16	31518	0.875	63080	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\263893279.wav
midi_instrument_04_handdrum	04 handdrum	331770310	1	36000	16	26910	0.748	53864	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\331770310.wav
midi_instrument_04_handdrum	04 handdrum	366132704	1	36000	16	15944	0.443	31932	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\366132704.wav
midi_instrument_04_handdrum	04 handdrum	380585974	1	36000	16	3235	0.090	6514	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\380585974.wav
midi_instrument_04_handdrum	04 handdrum	406886587	1	36000	16	3516	0.098	7076	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\406886587.wav
midi_instrument_04_handdrum	04 handdrum	416534152	1	36000	16	3294	0.091	6632	F:\缓存\BDO音源\乐器_WAV\midi_instrument_04_handdrum\416534152.wav
