bank	wem_id	bytes	path
midi_instrument_00_acousticguitar.bnk	18066943	23502	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\18066943.wem
midi_instrument_00_acousticguitar.bnk	84994061	15494	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\84994061.wem
midi_instrument_00_acousticguitar.bnk	188841095	34965	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\188841095.wem
midi_instrument_00_acousticguitar.bnk	440522940	31342	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\440522940.wem
midi_instrument_00_acousticguitar.bnk	492018674	32774	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\492018674.wem
midi_instrument_00_acousticguitar.bnk	572577418	21376	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\572577418.wem
midi_instrument_00_acousticguitar.bnk	584009404	20949	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\584009404.wem
midi_instrument_00_acousticguitar.bnk	644569521	15523	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\644569521.wem
midi_instrument_00_acousticguitar.bnk	676988781	13962	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\676988781.wem
midi_instrument_00_acousticguitar.bnk	805595018	10562	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\805595018.wem
midi_instrument_00_acousticguitar.bnk	854819957	32259	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\854819957.wem
midi_instrument_00_acousticguitar.bnk	866938490	20598	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\866938490.wem
midi_instrument_00_acousticguitar.bnk	900600666	13524	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\900600666.wem
midi_instrument_00_acousticguitar.bnk	1040658402	14809	F:\缓存\BDO音源\乐器_WEM\midi_instrument_00_acousticguitar\1040658402.wem
midi_instrument_01_flute.bnk	130339141	41717	F:\缓存\BDO音源\乐器_WEM\midi_instrument_01_flute\130339141.wem
midi_instrument_01_flute.bnk	185092989	42028	F:\缓存\BDO音源\乐器_WEM\midi_instrument_01_flute\185092989.wem
