evidence_sha256	bank	sound_id	source_id	root_note	key_min	key_max	velocity_min	velocity_max	route_ntypes	route_event_ids	route_target_id	selection_group_id	selection_mode	avoid_repeat	playlist_index	playlist_order	playlist_weight	container_loop_count	selection_continuous	selection_global	selection_reset_playlist	selection_max_instances	selection_kill_newest	instance_group_id	max_instances	kill_newest	instance_limit_global	instance_use_virtual_behavior	instance_limits	pitch_cents	pitch_random_min_cents	pitch_random_max_cents	makeup_gain_db	volume_db	release_ms	sound_loop_count	midi_break_loop_on_note_off	sample_loops	loop_start_frame	loop_end_frame	loop_play_count	sample_loop_regions	wem_exists	wav_exists	wem_path	wav_path
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	926587978	572577418	48	0	48	0	125	[0, 99]	[489059638, 640058120]	241270154	825787575	sequence	1	1	[8692085, 926587978]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-1.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/572577418.wem	midi_instrument_00_acousticguitar/572577418.wav
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	8692085	866938490	48	0	48	0	125	[0, 99]	[489059638, 640058120]	241270154	825787575	sequence	1	0	[8692085, 926587978]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-1.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/866938490.wem	midi_instrument_00_acousticguitar/866938490.wav
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	719301951	18066943	48	0	48	126	127	[0, 99]	[489059638, 640058120]	241270154	501147808	sequence	1	1	[156724189, 719301951]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-4.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/18066943.wem	midi_instrument_00_acousticguitar/18066943.wav
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	156724189	584009404	48	0	48	126	127	[0, 99]	[489059638, 640058120]	241270154	501147808	sequence	1	0	[156724189, 719301951]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-4.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/584009404.wem	midi_instrument_00_acousticguitar/584009404.wav
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	930121801	440522940	48	49	60	0	125	[0, 99]	[489059638, 640058120]	241270154	410809574	sequence	1	0	[930121801, 324948409]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-1.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/440522940.wem	midi_instrument_00_acousticguitar/440522940.wav
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	324948409	854819957	48	49	60	0	125	[0, 99]	[489059638, 640058120]	241270154	410809574	sequence	1	1	[930121801, 324948409]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-1.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/854819957.wem	midi_instrument_00_acousticguitar/854819957.wav
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	596183583	188841095	48	49	60	126	127	[0, 99]	[489059638, 640058120]	241270154	149690508	sequence	1	1	[98984293, 596183583]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-4.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/188841095.wem	midi_instrument_00_acousticguitar/188841095.wav
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	98984293	492018674	48	49	60	126	127	[0, 99]	[489059638, 640058120]	241270154	149690508	sequence	1	0	[98984293, 596183583]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-4.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/492018674.wem	midi_instrument_00_acousticguitar/492018674.wav
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	550512211	644569521	78	61	127	0	125	[0, 99]	[489059638, 640058120]	241270154	339787889	sequence	1	1	[815113308, 550512211]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-1.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/644569521.wem	midi_instrument_00_acousticguitar/644569521.wav
a4875632c008e77e9d20dd20826735755697c6bdda8d76dab9a8f638466b61bc	midi_instrument_00_acousticguitar	815113308	1040658402	78	61	127	0	125	[0, 99]	[489059638, 640058120]	241270154	339787889	sequence	1	0	[815113308, 550512211]	50000	1	False	True	True	0	False		0	False	False	False	[]	0.0	0.0	0.0	0.0	-1.0	600.0000238418579		False	0				[]	True	True	midi_instrument_00_acousticguitar/1040658402.wem	midi_instrument_00_acousticguitar/1040658402.wav
